epoch,train_loss,val_loss,val_iou_sulfide,val_iou_bg,val_pixel_acc,seconds
1,0.077314,0.091839,0.941538,0.93575,0.968424,79.33
2,0.040788,0.051508,0.965491,0.960537,0.981245,78.24
3,0.034867,0.049167,0.966856,0.962284,0.982042,78.39
4,0.027073,0.049602,0.966016,0.961692,0.981662,78.2
5,0.028718,0.148822,0.899595,0.875851,0.941227,78.46
6,0.031109,0.044508,0.968894,0.964622,0.983169,78.35
7,0.028746,0.095695,0.933085,0.921565,0.962538,78.41
8,0.025693,0.044163,0.967041,0.963078,0.982277,78.38
9,0.021741,0.038218,0.972606,0.968772,0.985191,78.38
10,0.019576,0.037195,0.97243,0.968835,0.985154,78.32
11,0.019253,0.045547,0.967755,0.963825,0.982656,78.42
12,0.023243,0.037111,0.971991,0.968283,0.984901,78.48
13,0.018457,0.037457,0.972745,0.969088,0.985303,78.36
14,0.035601,0.082971,0.936172,0.930867,0.965673,78.39
15,0.021357,0.046867,0.968368,0.964084,0.982893,78.22
16,0.021818,0.048367,0.964212,0.959694,0.980677,78.48
17,0.023367,0.061318,0.956604,0.94992,0.976197,78.33
18,0.021448,0.03619,0.972365,0.968856,0.98514,78.33
19,0.017994,0.035436,0.973582,0.970097,0.985774,78.45
20,0.017371,0.034994,0.974381,0.970874,0.986181,78.22
21,0.016992,0.034701,0.973735,0.970252,0.985853,78.57
22,0.016715,0.035529,0.973299,0.969845,0.985635,78.28
23,0.016503,0.038787,0.97235,0.968767,0.985116,78.5
24,0.018231,0.03664,0.973375,0.969929,0.985676,78.34
25,0.031159,0.057247,0.95804,0.953137,0.977361,78.44
26,0.019081,0.037377,0.972054,0.968513,0.984972,78.32
27,0.016792,0.039216,0.970903,0.96716,0.984331,78.38
28,0.023794,0.036495,0.972145,0.968476,0.98499,78.33
29,0.017522,0.036505,0.972792,0.969239,0.985351,78.37
30,0.021654,0.043971,0.969119,0.965199,0.983366,78.47
